sampleid	sample_name_2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	log10(reads_per_file)_full	log10(reads_per_file)	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	SampleID_2	Qiita_studyID
common_frog.1	13881.SAMEA6809418	13881	Rana-temporaria_SAMEA6809418.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	11394398	2214802	6.345334907000001	6	Chordata	Amphibia	Ranidae	Rana	Metazoa	Anura	Rana_temporaria	Rana_temporaria	Rana_temporaria	common_frog			carnivore	Austria		feces	carnivore	carnivore	wild	Rana-temporaria_SAMEA6809418.ebi_filtered_r1r2interleaved_sampleCombined	study13881
fulvous_harvest_mouse.1	13881.SAMEA6809536	13881	Reithrodontomys-fulvescens_SAMEA6809536.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	5550728	5411876	6.733347837	7	Chordata	Mammalia	Cricetidae	Reithrodontomys	Metazoa	Rodentia	Reithrodontomys_fulvescens	Peromyscus_polionotus_subgriseus	Reithrodontomys_fulvescens	fulvous_harvest_mouse			omnivore	CostaRica		gut	herbivore	herbivore	wild	Reithrodontomys-fulvescens_SAMEA6809536.ebi_filtered_r1r2interleaved_sampleCombined	study13881
new_caledonian_giant_gecko.1	13114.song.52.s009	13114	Rhacodactylus-leachianus_Song52_25064_host_filtered_r1r2combined.fastq.gz	26438474	26438122	7.422230602000001	7	Chordata	Reptilia	Diplodactylidae	Rhacodactylus	Metazoa	Squamata	Rhacodactylus_leachianus	Gekko_japonicus	Rhacodactylus_leachianus	New_Caledonian_giant_gecko	flightless	terrestrial,flightless	omnivore	USA			omnivore	omnivore	captive	Rhacodactylus-leachianus_Song52_25064_filtered_r1r2interleaved	study13114
rhea.3	11166.NATL.25017.rhea	11166	Rhea-americana_S_S_Temp_D706-AK1780_filtered_r1r2combined.fastq.gz	24251830	24239394	7.384521757999999	7	Chordata	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Rhea_americana	Rhea_americana	Rhea_americana	rhea	flightless			USA			omnivore	omnivore	captive	Rhea-americana_S_S_Temp_D706-AK1780_filtered_r1r2interleaved	study11166
darwins_rhea.1	11166.ZU.18256.rhea	11166	Rhea-pennata_S_S_Temp_D709-AK1543_filtered_r1r2combined.fastq.gz	9620260	9618324	6.983099402000001	7	Chordata	Aves	Rheidae	Pterocnemia	Metazoa	Rheiformes	Rhea_pennata	Rhea_pennata	Pterocnemia_pennata	Darwins_rhea	flightless			Switzerland			herbivore	herbivore	captive	Rhea-pennata_S_S_Temp_D709-AK1543_filtered_r1r2interleaved	study11166
goldman's_water_mouse.1	13881.SAMEA6809537	13881	Rheomys-raptor_SAMEA6809537.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	3793610	3775152	6.576934442000001	7	Chordata	Mammalia	Cricetidae	Rheomys	Metazoa	Rodentia	Rheomys_raptor	Sigmodon_hispidus	Rheomys_raptor	Goldman's_water_mouse			carnivore	CostaRica		gut	carnivore	carnivore	wild	Rheomys-raptor_SAMEA6809537.ebi_filtered_r1r2interleaved_sampleCombined	study13881
greater_indian_rhinoceros.1	13881.SAMEA6809518	13881	Rhinoceros-unicornis_SAMEA6809518.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	18814750	18808154	7.274346172	7	Chordata	Mammalia	Rhinocerotidae	Rhinoceros	Metazoa	Perissodactyla	Rhinoceros_unicornis	Rhinoceros_unicornis	Rhinoceros_unicornis	greater_Indian_rhinoceros			herbivore	Nepal		feces	herbivore	herbivore	wild	Rhinoceros-unicornis_SAMEA6809518.ebi_filtered_r1r2interleaved_sampleCombined	study13881
wreathed_hornbill.1	13114.song.53.s002	13114	Rhyticeros-undulatus_Song53_24055_host_filtered_r1r2combined.fastq.gz	19176318	19175798	7.282753446	7	Chordata	Aves	Bucerotidae	Rhyticeros	Metazoa	Bucerotiformes	Rhyticeros_undulatus	Buceros_rhinoceros_silvestris	Rhyticeros_undulatus	Wreathed_hornbill	flighted	terrestrial,flight	omnivore	USA			omnivore_frugivore	omnivore	captive	Rhyticeros-undulatus_Song53_24055_filtered_r1r2interleaved	study13114
chamois.1	13881.SAMEA6809564	13881	Rupicapra-rupicapra_SAMEA6809564.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	5416568	5122552	6.709486376	7	Chordata	Mammalia	Bovidae	Rupicapra	Metazoa	Artiodactyla	Rupicapra_rupicapra	Ammotragus_lervia	Rupicapra_rupicapra	chamois			herbivore	Austria		feces	herbivore	herbivore	wild	Rupicapra-rupicapra_SAMEA6809564.ebi_filtered_r1r2interleaved_sampleCombined	study13881
sambar.1	13881.SAMEA6809389	13881	Rusa-unicolor_SAMEA6809389.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	7485514	7485010	6.874192385	7	Chordata	Mammalia	Cervidae	Rusa	Metazoa	Artiodactyla	Rusa_unicolor	Przewalskium_albirostris	Rusa_unicolor	Sambar			herbivore	VietNam		feces	herbivore	herbivore	wild	Rusa-unicolor_SAMEA6809389.ebi_filtered_r1r2interleaved_sampleCombined	study13881
