sampleid	sample_name_2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	log10(reads_per_file)_full	log10(reads_per_file)	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	SampleID_2
banded_mongoose.2	11166.NATL.24682.mongoose	11166	Mungos-mungo_S_S_Temp_D704-AK1780_filtered_r1r2combined.fastq.gz	8895624	8892976	6.94904712	7	Chordata	Mammalia	Herpestidae	Mungos	Metazoa	Carnivora	Mungos_mungo	Mungos_mungo	Mungos_mungo	banded_mongoose	flightless			USA			herbivore	herbivore	captive	Mungos-mungo_S_S_Temp_D704-AK1780_filtered_r1r2interleaved
bronzewinged_duck.1	11166.ZU.18260.bronzewingedduck	11166	Speculanas-specularis_S_S_Temp_D709-AK1546_filtered_r1r2combined.fastq.gz	4312146	4291506	6.632609724	7	Chordata	Aves	Anatidae	Speculanas	Metazoa	Anseriformes	Speculanas_specularis	Heteronetta_atricapilla	Speculanas_specularis	Bronzewinged_duck	flighted			Switzerland			omnivore	omnivore	captive	Speculanas-specularis_S_S_Temp_D709-AK1546_filtered_r1r2interleaved
brown_hyena.1	11166.FD.0126.hyena	11166	Hyaena-brunnea_S_S_Temp_D701-AK1682_filtered_r1r2combined.fastq.gz	148146384	148074190	8.170479366	8	Chordata	Mammalia	Hyaenidae	Parahyaena	Metazoa	Carnivora	Hyaena_brunnea	Crocuta_crocuta	Parahyaena_brunnea	Brown_hyena	flightless			France			scavenger	carnivore	captive	Hyaena-brunnea_S_S_Temp_D701-AK1682_filtered_r1r2interleaved
brown_kiwi.2	11166.NATL.24369.kiwi	11166	Apteryx-mantelli_S_S_Temp_D706-AK1546_filtered_r1r2combined.fastq.gz	16212782	16187182	7.20917125	7	Chordata	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Apteryx_australis	Apteryx_mantelli	Apteryx_australis	brown_kiwi	flightless			USA			carnivore	carnivore	captive	Apteryx-mantelli_S_S_Temp_D706-AK1546_filtered_r1r2interleaved
brown_kiwi.3	11166.NATL.24677.kiwi	11166	Apteryx-mantelli_S_S_Temp_D706-AK1681_filtered_r1r2combined.fastq.gz	24159332	24065226	7.381389945	7	Chordata	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Apteryx_australis	Apteryx_mantelli	Apteryx_australis	brown_kiwi	flightless			USA			carnivore	carnivore	captive	Apteryx-mantelli_S_S_Temp_D706-AK1681_filtered_r1r2interleaved
cassowary.3	11166.ATL.24090.a.cassowary	11166	Casuarius-casuarius_S_S_Temp_D703-AK1780_filtered_r1r2combined.fastq.gz	78781584	78778530	7.896407872999999	8	Chordata	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Casuarius_casuarius	Casuarius_casuarius	Casuarius_casuarius	Cassowary	flightless			USA			frugivore	herbivore	captive	Casuarius-casuarius_S_S_Temp_D703-AK1780_filtered_r1r2interleaved
cassowary.4	11166.NATL.24096.cassowary	11166	Casuarius-casuarius_S_S_Temp_D705-AK1545_filtered_r1r2combined.fastq.gz	48652110	47781626	7.679260925	8	Chordata	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Casuarius_casuarius	Casuarius_casuarius	Casuarius_casuarius	cassowary	flightless			USA			frugivore	herbivore	captive	Casuarius-casuarius_S_S_Temp_D705-AK1545_filtered_r1r2interleaved
common_rudd.2	11166.vbat.DR07.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D707-AK1546_filtered_r1r2combined.fastq.gz	18641194	527736	5.722416721	6	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted			Mexico			sanguivore	carnivore	wild	Desmodus-rotundus_S_S_Temp_D707-AK1546_filtered_r1r2interleaved
common_teal.1	11166.vbat.DR11.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D708-AK1543_filtered_r1r2combined.fastq.gz	42269878	922368	5.964904227000001	6	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted			Mexico			sanguivore	carnivore	wild	Desmodus-rotundus_S_S_Temp_D708-AK1543_filtered_r1r2interleaved
common_toad.1	11166.vbat.DR12.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D708-AK1544_filtered_r1r2combined.fastq.gz	34428166	1573366	6.196829761	6	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted			Mexico			sanguivore	carnivore	wild	Desmodus-rotundus_S_S_Temp_D708-AK1544_filtered_r1r2interleaved
common_toad.2	11166.vbat.DR14.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D707-AK1544_filtered_r1r2combined.fastq.gz	13903090	394212	5.59572984	6	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted			Mexico			sanguivore	carnivore	wild	Desmodus-rotundus_S_S_Temp_D707-AK1544_filtered_r1r2interleaved
common_vampire_bat.1	11166.vbat.DR15.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D708-AK1680_filtered_r1r2combined.fastq.gz	31906410	753786	5.877248067000001	6	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted			Mexico			sanguivore	carnivore	wild	Desmodus-rotundus_S_S_Temp_D708-AK1680_filtered_r1r2interleaved
common_vampire_bat.2	11166.vbat.DR16.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D708-AK1682_filtered_r1r2combined.fastq.gz	8907528	230578	5.3628178680000005	5	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted			Mexico			sanguivore	carnivore	wild	Desmodus-rotundus_S_S_Temp_D708-AK1682_filtered_r1r2interleaved
common_vampire_bat.3	11166.vbat.DR21.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D709-AK1680_filtered_r1r2combined.fastq.gz	15242976	356808	5.552434582999999	6	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted			Mexico			sanguivore	carnivore	wild	Desmodus-rotundus_S_S_Temp_D709-AK1680_filtered_r1r2interleaved
common_vampire_bat.4	11166.vbat.DR26.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D708-AK1780_filtered_r1r2combined.fastq.gz	16975130	261142	5.416876726	5	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted			Mexico			sanguivore	carnivore	wild	Desmodus-rotundus_S_S_Temp_D708-AK1780_filtered_r1r2interleaved
darwins_rhea.1	11166.ZU.18256.rhea	11166	Rhea-pennata_S_S_Temp_D709-AK1543_filtered_r1r2combined.fastq.gz	9620260	9618324	6.983099402000001	7	Chordata	Aves	Rheidae	Pterocnemia	Metazoa	Rheiformes	Rhea_pennata	Rhea_pennata	Pterocnemia_pennata	Darwins_rhea	flightless			Switzerland			herbivore	herbivore	captive	Rhea-pennata_S_S_Temp_D709-AK1543_filtered_r1r2interleaved
dwarf_mongoose.2	11166.NATL.25075.mongoose	11166	Helogale-parvula_S_S_Temp_D704-AK1544_filtered_r1r2combined.fastq.gz	83622188	83617234	7.922295797	8	Chordata	Mammalia	Herpestidae	Helogale	Metazoa	Carnivora	Helogale_parvula	Helogale_parvula	Helogale_parvula	dwarf_mongoose	flightless			USA			insectivore	carnivore	captive	Helogale-parvula_S_S_Temp_D704-AK1544_filtered_r1r2interleaved
elegant_crested_tinamou.1	11166.FD.0441.tinamou	11166	Eudromia-elegans_S_S_Temp_D710-AK1682_filtered_r1r2combined.fastq.gz	32487128	32448674	7.511196954	8	Chordata	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes	Eudromia_elegans	Eudromia_elegans	Eudromia_elegans	elegant_crested_tinamou	flighted			France			omnivore	omnivore	captive	Eudromia-elegans_S_S_Temp_D710-AK1682_filtered_r1r2interleaved
elegant_crested_tinamou.2	11166.NATL.24094.tinamou	11166	Eudromia-elegans_S_S_Temp_D706-AK1680_filtered_r1r2combined.fastq.gz	40795214	40582464	7.608338412	8	Chordata	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes	Eudromia_elegans	Eudromia_elegans	Eudromia_elegans	elegant_crested_tinamou	flighted			USA			omnivore	omnivore	captive	Eudromia-elegans_S_S_Temp_D706-AK1680_filtered_r1r2interleaved
